,site,plot,sub_site,Shan,Simp,richness,Jaccard,Rao,sd.height,Wavelength,method,Reflectance_mean,Reflectance_sd,Reflectance_cv,Reflectance_max,Reflectance_min
38,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1173,hetero,0.402350275,0.047078906,11.70097517,0.4370031,0.3351176
39,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1082,hetero,0.42784085,0.054417668,12.71913787,0.4787164,0.3509674
40,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,991,hetero,0.3845138,0.051627831,13.42678245,0.4336232,0.3118294
41,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,900,hetero,0.3716954,0.052038801,14.00038866,0.4229846,0.299123
42,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1720,hetero,0.27058185,0.033005246,12.19787871,0.3165572,0.2384343
43,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,809,hetero,0.3347263,0.048372429,14.45133786,0.3822654,0.2673266
44,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,718,hetero,0.18786235,0.019360451,10.30565802,0.2021095,0.1593176
45,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,627,hetero,0.0638326,0.007114578,11.14568176,0.07424665,0.05844494
46,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1447,hetero,0.14854585,0.026098422,17.56927033,0.1876011,0.1334264
47,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,536,hetero,0.06024362,0.00568256,9.432633441,0.06658365,0.05277264
48,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,445,hetero,0.027759573,0.002877368,10.36531702,0.03199051,0.02568345
49,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,354,hetero,0.012378443,0.000989056,7.990152926,0.01334995,0.01109289
50,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1174,hetero,0.402366625,0.046992362,11.67899106,0.4368975,0.3352453
51,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1083,hetero,0.42818415,0.0544057,12.70614522,0.4791893,0.3513897
52,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,992,hetero,0.384820425,0.051698342,13.43440693,0.4339861,0.3120312
53,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,901,hetero,0.37242905,0.051648113,13.86790653,0.423224,0.3003483
54,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1721,hetero,0.27002825,0.033004746,12.22270119,0.3159969,0.2378865
55,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,810,hetero,0.3351207,0.048470256,14.46352188,0.3827653,0.2675835
56,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,719,hetero,0.193342575,0.020528922,10.61790032,0.2089323,0.163147
57,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,628,hetero,0.063988365,0.007161463,11.19182037,0.07447533,0.05856963
58,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1448,hetero,0.1483294,0.026108262,17.60154191,0.1874265,0.1335568
59,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,537,hetero,0.060919145,0.00570832,9.37032122,0.06723978,0.05338212
60,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,446,hetero,0.027951945,0.002894623,10.35571282,0.03220693,0.02585664
61,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,355,hetero,0.012415755,0.001011804,8.149355988,0.01342624,0.01112002
62,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1175,hetero,0.402431225,0.046910786,11.65684546,0.4368091,0.3354094
63,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1084,hetero,0.428511875,0.054377101,12.68975347,0.4794982,0.3517664
64,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,993,hetero,0.3853758,0.051703286,13.41632915,0.4344905,0.3125555
65,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,902,hetero,0.37317595,0.051349552,13.76014493,0.4235742,0.3014624
66,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1722,hetero,0.269475575,0.03296079,12.23145731,0.3154708,0.2375759
67,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,811,hetero,0.33546195,0.048600424,14.48761138,0.3832767,0.2677584
68,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,720,hetero,0.198638275,0.021602988,10.8755415,0.2154698,0.16694
69,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,629,hetero,0.06414596,0.007234414,11.27805144,0.07474522,0.05866286
70,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1449,hetero,0.148078675,0.026076891,17.61015962,0.1871346,0.1334137
71,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,538,hetero,0.061580533,0.00573908,9.319634132,0.067888,0.05397242
72,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,447,hetero,0.028152985,0.002911921,10.34320613,0.03243265,0.02603968
73,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,356,hetero,0.012504655,0.001029513,8.233040387,0.01351002,0.01117125
74,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1176,hetero,0.40245235,0.046886146,11.65011117,0.4367101,0.3354555
75,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1085,hetero,0.4288088,0.054336073,12.67139868,0.4797693,0.352131
76,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,994,hetero,0.385827675,0.051639559,13.38409927,0.4349313,0.3131141
77,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,903,hetero,0.37362885,0.05138359,13.7525756,0.4240559,0.301866
78,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1723,hetero,0.269041825,0.032903102,12.229735,0.3149877,0.2372502
79,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,812,hetero,0.33580045,0.048747908,14.51692759,0.3837817,0.2678945
80,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,721,hetero,0.2033821,0.02245649,11.04152705,0.2212029,0.170499
81,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,630,hetero,0.064289495,0.007293984,11.3455296,0.07497884,0.05875769
82,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1450,hetero,0.147809775,0.026107976,17.66322686,0.1869035,0.1328952
83,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,539,hetero,0.062231,0.00578043,9.2886657,0.06853911,0.05454
84,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,448,hetero,0.028338045,0.002931318,10.3441077,0.03264494,0.02620183
85,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,357,hetero,0.012611955,0.001051886,8.340391479,0.01361421,0.01122207
86,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1177,hetero,0.40247515,0.04682319,11.63380904,0.4365917,0.3355814
87,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1086,hetero,0.429107925,0.054315438,12.65775683,0.4799773,0.3524413
88,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,995,hetero,0.386239225,0.051640262,13.3700201,0.4353316,0.3135189
89,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,904,hetero,0.37353345,0.051907938,13.89646312,0.4246531,0.3011242
90,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1724,hetero,0.268741025,0.032935798,12.25558997,0.3147239,0.2369462
91,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,813,hetero,0.3361639,0.048844749,14.53003994,0.3842436,0.2681171
92,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,722,hetero,0.208082975,0.023201459,11.15009946,0.2267564,0.1741707
93,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,631,hetero,0.064429295,0.007350894,11.40924159,0.07520743,0.05886198
94,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1451,hetero,0.147651125,0.026118238,17.68915623,0.1867677,0.1328601
95,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,540,hetero,0.062844625,0.005829468,9.276001621,0.06916872,0.05506499
96,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,449,hetero,0.02852849,0.002950849,10.34351623,0.03286312,0.02637532
97,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,358,hetero,0.012690995,0.001091819,8.60309674,0.0137866,0.01126347
98,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1178,hetero,0.402479925,0.046764408,11.61906599,0.4364484,0.3356809
99,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1087,hetero,0.4294121,0.054262291,12.636414,0.4799854,0.3527302
100,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,996,hetero,0.386645775,0.051737052,13.38099514,0.4357518,0.3137589
101,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,905,hetero,0.373242975,0.052579329,14.08715835,0.4252189,0.2999913
102,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1725,hetero,0.26833405,0.032901881,12.26153773,0.3142348,0.2365153
103,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,814,hetero,0.336578075,0.048855579,14.51537773,0.3846514,0.2685021
104,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,723,hetero,0.212952525,0.024092188,11.31340812,0.2326332,0.1778169
105,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,632,hetero,0.064569068,0.007410179,11.47636004,0.0754425,0.05897488
106,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,1452,hetero,0.1476047,0.02600017,17.61473025,0.186537,0.1328764
107,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,541,hetero,0.063431945,0.005897222,9.296926822,0.06979084,0.05553671
108,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,450,hetero,0.028724583,0.002965327,10.3233065,0.03307955,0.02656498
109,HE,1,QHI:HE1,1.856441919,0.75591029,15,0.665017698,0.286536009,4.977312163,359,hetero,0.012773773,0.001090283,8.53532163,0.01389783,0.01137878
