Y,X,,Status,Tissue,Count,Height (cm),Herbivory,Notes,Photo
1,1,Arctagrostis latifolia,Standing dead,Leaf,1,15.9,,Record  species which are in the plot but weren’t hit,FALSE
,,Eriophorum vaginatum,Live,Leaf,5,,,Senecio astropurpureus,FALSE
,,Eriophorum vaginatum,Standing dead,Leaf,4,,,Cardamine digitalis,FALSE
,,XXXlitter,,,,,,Pedicularis lanata,FALSE
1,2,Hierochole alpine,Standing dead,Leaf,1,13.9,,Artemisia norvegica,FALSE
,,Eriophorum vaginatum,Live,Leaf,4,,,Moss dinosaur ,FALSE
,,,Standing dead,Leaf,4,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
,,XXXlitter,,,,,,,FALSE
1,3,Salix pulchra,Live,Leaf,2,10.8,,,FALSE
,,Salix pulchra,Live,Stem,2,,,,FALSE
,,Eriophorum vaginatum,Live,Leaf,2,,,,FALSE
,,Eriophorum vaginatum,Standing dead,Leaf,6,,,,FALSE
,,XXXlitter,,,,,,,FALSE
1,4,Eriophorum vaginatum,Live,Flower stalk,1,23.5,,,FALSE
,,Eriophorum vaginatum,Live,Leaf,6,,,,FALSE
,,Eriophorum vaginatum,Standing dead,Leaf,3,,,,FALSE
,,Cassiope tetragona,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
1,5,Poa arctica,Live,Flower,1,17,,,FALSE
,,Eriophorum vaginatum,Live,Leaf,3,,,,FALSE
,,Eriophorum vaginatum,Standing dead,Leaf,6,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,6,Eriophorum vaginatum,Live,,1,8.4,,,FALSE
,,,Standing dead,,3,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,7,Eriophorum vaginatum,Live,,4,7.8,,,FALSE
,,,Standing dead,,7,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,8,Eriophorum vaginatum,Standing dead,,4,6.1,,,FALSE
,,,Live,,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,9,Eriophorum vaginatum,Live,,2,11.6,,,FALSE
,,,Standing dead,,3,,,,FALSE
,,Salix pulchra,,,,14.1,,,FALSE
,,XXXlitter,,,,,,,FALSE
,10,Eriophorum vaginatum,Live,,3,17.6,,,FALSE
,,,Standing dead,,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,1,Hierochole alpine,,,,7.7,,,FALSE
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE
,,,Live,,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,2,Hierochole alpine,Live,Flower stalk,1,33.3,,,FALSE
,,Eriophorum vaginatum,Live,,2,,,,FALSE
,,,Standing dead,,1,,,,FALSE
,,Salix pulchra,,,,7.6,,,FALSE
,,XXXlitter,,,,,,,FALSE
,3,Eriophorum vaginatum,Live,,,11.8,,,FALSE
,,,Standing dead,,2,,,,FALSE
,,Salix pulchra,Live,Stem,1,3.4,,,FALSE
,,XXXlitter,,,,,,,FALSE
,4,Polygonum bistorta,Live,Leaf,1,15.8,,,FALSE
,,Saussurea angustifolia,,,,,,,FALSE
,,Arctagrostis latifolia,,,,,,,FALSE
,,Salix pulchra,,,,6.9,,,FALSE
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,5,Eriophorum vaginatum,Live,Flower stalk,,13.5,,,FALSE
,,,Live,Leaf,3,,,,FALSE
,,,Standing dead,,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,6,Eriophorum vaginatum,Standing dead,,4,18.8,,,FALSE
,,,Live,,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,7,Eriophorum vaginatum,Live,,,,,,FALSE
,,Luzula arctica,Live,,1,14,,,FALSE
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE
,,Salix pulchra,Standing dead,,1,10.1,,,FALSE
,,XXXlitter,,,,,,,FALSE
,8,Eriophorum vaginatum,Live,,2,12.7,,,FALSE
,,,Standing dead,,2,,,,FALSE
,,Salix pulchra,Live,Stem,1,4.7,,,FALSE
,,XXXlitter,,,,,,,FALSE
,9,Luzula arctica,Standing dead,Flower stalk,1,20.4,,,FALSE
,,Eriophorum vaginatum,Standing dead,Leaf,2,,,,FALSE
,,Eriophorum vaginatum,Live,Leaf,3,,,,FALSE
,,Salix phlebophylla,,,,,,,FALSE
,10,Eriophorum vaginatum,Live,Leaf,3,25.9,,,FALSE
,,Arctagrostis latifolia,Live,Leaf,1,,,,FALSE
