Y,X,,Status,Tissue,Count,Height (cm),Herbivory,Notes,Photo
1,1,Eriophorum vaginatum,,,3,16.1,,Record  species which are in the plot but weren’t hit,FALSE
,,Arctagrostis latifolia,,,3,,,,FALSE
,,Salix pulchra,,,,13.2,,Lemming runway and hole,FALSE
,,XXXlitter,,,,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
,2,Eriophorum vaginatum,Live,,,6.4,,Salix phlebophylla,FALSE
,,Eriophorum vaginatum,Standing dead,,7,,,Pedicularis capitata,FALSE
,,XXXlitter,,,,,,Dinosaur moss,FALSE
,,XXXothermoss,,,,,,Valariana capitata,FALSE
,3,XXXcarex,Live,Leaf,5,22.1,,XXXfungus,FALSE
,,Salix pulchra,,,,16.1,,,FALSE
,,XXXlitter,,,,,,Maybe ,FALSE
,4,XXXcarex,Live,Leaf,4,20.5,,Cardamine digitalis,FALSE
,,Salix pulchra,,,,16.4,,Lagostis glauca,FALSE
,,Arctagrostis latifolia,,,,,,,FALSE
,,Eriophorum vaginatum,Live,Leaf,,,,,FALSE
,,Eriophorum vaginatum,Standing dead,Leaf,5,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,5,XXXcarex,Live,Leaf,2,12.9,,,FALSE
,,XXXcarex,Standing dead,Leaf,5,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
,6,Arctagrostis latifolia,Standing dead,Leaf,2,10.6,,,FALSE
,,Salix pulchra,,Leaf,,6.4,,,FALSE
,,Salix pulchra,,Stem,,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
,7,Eriophorum vaginatum,Standing dead,,4,10.2,,,FALSE
,,Salix pulchra,,,,7.5,,,FALSE
,,Eriophorum vaginatum,Live,,,,,,FALSE
,,Salix pulchra,,Stem,,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
,8,Eriophorum vaginatum,Live,Leaf,1,9.9,,,FALSE
,,XXXcarex,Standing dead,,,,,,FALSE
,,Salix pulchra,,Leaf,,7.2,,,FALSE
,,Salix pulchra,,Stem,,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
,9,Eriophorum vaginatum,Live,,2,14,,,FALSE
,,Eriophorum vaginatum,Standing dead,,5,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
,10,Eriophorum vaginatum,Standing dead,,,9.6,,,FALSE
,,XXXcarex,Live,,2,,,,FALSE
,,Eriophorum vaginatum,Live,,1,,,,FALSE
,,Salix pulchra,Live,Stem,,9,,,FALSE
,,XXXothermoss,,,,,,,FALSE
,,XXXpeltigera,,,,,,,FALSE
2,1,Salix pulchra,Live,Leaf,,7.6,,,FALSE
,,Salix pulchra,,Stem,,,,,FALSE
,,Arctagrostis latifolia,,,,,,,FALSE
,,XXXpeltigera,,,,,,,FALSE
