Y,X,,Status,Tissue,Count,Height (cm),Herbivory,Notes,Photo
1,1,Salix arctica,Live,Leaf,1,4.4,,Record  species which are in the plot but weren’t hit,FALSE
,,Oxytropis campestris,Live,Leaf,1,,,Papaver radicatum,FALSE
,,XXXlitter,,,,,,Polygonum viviparum,FALSE
1,2,Dryas integrifolia,Live,Leaf,1,3.8,,Oxytropis nigrescens,FALSE
,,XXXlitter,,,,,,XXXcladonia,FALSE
1,3,Arctagrostis latifolia,Standing dead,Flower,1,6.1,,Saussurea angustifolia,FALSE
,,Dryas integrifolia,Live,Leaf,3,,,XXXfungus,FALSE
,,XXXlitter,,,,,,,FALSE
1,4,Arctagrostis latifolia,Live,Leaf,1,7.8,,Just outside plot:,FALSE
,,Dryas integrifolia,Live,Leaf,3,,,Lupinus arcticus,FALSE
,,XXXlitter,,,,,,Saxifraga hierculus,FALSE
1,5,Dryas integrifolia,Live,Leaf,3,2.1,,,FALSE
,,XXXlitter,,,,,,,FALSE
1,6,Arctagrostis latifolia,Live,Leaf,1,6.5,,,FALSE
,,Pedicularis vertisilata,Live,Flower,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
,,XXXpeltigera,Live,Leaf,1,,,,FALSE
1,7,Arctagrostis latifolia,Standing dead,Flower,1,1.2,,,FALSE
,,XXXpeltigera,,,,,,,FALSE
1,8,Parrya nudicalis,Live,Leaf,1,12.1,,,FALSE
,,XXXlitter,,,,,,,FALSE
1,9,Arctagrostis latifolia,Standing dead,Leaf,1,5.9,,,FALSE
,,Arctagrostis latifolia,Standing dead,Stem,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,3,,,,FALSE
,,XXXlitter,,,,,,,FALSE
1,10,Arctagrostis latifolia,Standing dead,Leaf,2,9.3,,,FALSE
,,Arctagrostis latifolia,Live,Leaf,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,1,Festuca baffinensis,Live,Leaf,1,5.5,,,FALSE
,,Arctagrostis latifolia,Standing dead,Flower stalk,1,,,,FALSE
,,Festuca baffinensis,Standing dead,Leaf,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,2,Arctagrostis latifolia,Standing dead,Leaf,1,1.8,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,3,Dryas integrifolia,Live,Leaf,2,5.2,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,4,Dryas integrifolia,Live,Leaf,2,3.1,,,FALSE
,,Arctagrostis latifolia,Standing dead,Flower stalk,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,5,Dryas integrifolia,Live,Leaf,2,3.1,,,FALSE
,,Arctagrostis latifolia,Standing dead,Flower stalk,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,6,Arctagrostis latifolia,Live,Leaf,2,7.9,,,FALSE
,,Arctagrostis latifolia,Standing dead,Leaf,1,,,,FALSE
,,Arctagrostis latifolia,Standing dead,Flower stalk,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,7,Arctagrostis latifolia,Standing dead,Leaf,3,9.4,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,8,Festuca baffinensis,Live,Leaf,1,5,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,XXXothermoss,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,9,Arctagrostis latifolia,Live,Leaf,4,12,,,FALSE
,,Arctagrostis latifolia,Standing dead,Flower,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,3,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,10,Arctagrostis latifolia,Standing dead,Leaf,2,5.3,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,1,Arctagrostis latifolia,Standing dead,Leaf,1,7.6,,,FALSE
,,Dryas integrifolia,Live,Leaf,3,,,,FALSE
,,Dryas integrifolia,Live,Stem,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,2,Arctagrostis latifolia,Standing dead,Flower stalk,1,4.2,,,FALSE
,,Dryas integrifolia,Live,Leaf,3,,,,FALSE
,,Dryas integrifolia,Live,Stem,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,3,Arctagrostis latifolia,Standing dead,Leaf,1,7.6,,,FALSE
,,Salix arctica,Live,Leaf,2,,,,FALSE
