Y,X,,Status,Tissue,Count,Height (cm),Herbivory,Notes,Photo
1,1,Astralagus umbelletus,Standing dead,Leaf,1,4.7,,Record  species which are in the plot but weren’t hit,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,Lemming or vole holes and a runway,FALSE
,,Dryas integrifolia,Standing dead,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,Oxytropis nigrescens,FALSE
1,2,Salix arctica,Live,Leaf,2,3.4,,Pedicularis vertisilata,FALSE
,,XXXlitter,,,,,,Festuca baffinensis,FALSE
1,3,Alopecurus alpinus,Live,Leaf,3,14.3,,Thamnolia subuliformis,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,Senecio astropurpureus,FALSE
,,XXXlitter,,,,,,XXXotherforb,FALSE
1,4,Alopecurus alpinus,Standing dead,Leaf,1,6.1,,,FALSE
,,Salix arctica,Live,Stem,1,,,Just outside plot:,FALSE
,,XXXlitter,,,,,,Polygonum viviparum,FALSE
,,XXXothermoss,,,,,,,FALSE
1,5,Alopecurus alpinus,Live,Leaf,1,4.6,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,1,,,,FALSE
,,Dryas integrifolia,Standing dead,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
1,6,Alopecurus alpinus,Live,Leaf,1,8,,,FALSE
,,Salix arctica,Live,Leaf,1,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
1,7,Alopecurus alpinus,Live,Leaf,1,2.9,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
1,8,Alopecurus alpinus,Live,Leaf,1,6.2,,,FALSE
,,XXXbareground,,,,,,,FALSE
1,9,Dryas integrifolia,Live,Leaf,2,1.7,,,FALSE
,,Dryas integrifolia,Live,Stem,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
1,10,Alopecurus alpinus,Standing dead,Leaf,1,2.8,,,FALSE
,,XXXbareground,,,,,,,FALSE
2,1,Alopecurus alpinus,Standing dead,Leaf,1,1,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,2,Alopecurus alpinus,Standing dead,Leaf,2,3,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,3,Alopecurus alpinus,Live,Leaf,3,9.1,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,4,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,4,Alopecurus alpinus,Live,Leaf,3,14.5,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,5,Alopecurus alpinus,Standing dead,Leaf,1,1.7,,,FALSE
,,Dactylina arctica,Live,Leaf,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,6,Alopecurus alpinus,Standing dead,Leaf,1,2.6,,,FALSE
,,Dactylina arctica,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
,,XXXothermoss,,,,,,,FALSE
2,7,Alopecurus alpinus,Standing dead,Leaf,1,1.6,,,FALSE
,,Dryas integrifolia,Standing dead,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
2,8,Dryas integrifolia,Live,Leaf,1,0.8,,,FALSE
,,XXXbareground,,,,,,,FALSE
2,9,Alopecurus alpinus,Standing dead,Leaf,1,2.8,,,FALSE
,,Alopecurus alpinus,Live,Leaf,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXbareground,,,,,,,FALSE
2,10,XXXcrustous,,,,0,,,FALSE
3,1,Alopecurus alpinus,Standing dead,Leaf,2,5.8,,,FALSE
,,Dryas integrifolia,Standing dead,Flower,1,,,,FALSE
,,Dryas integrifolia,Standing dead,Flower stalk,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,2,Alopecurus alpinus,Live,Leaf,2,9.2,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,3,Alopecurus alpinus,Live,Leaf,3,10.9,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,4,Alopecurus alpinus,Standing dead,Leaf,1,5.5,,,FALSE
,,Dryas integrifolia,Standing dead,Flower stalk,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,5,Dactylina arctica,Live,Leaf,1,3.9,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXpeltigera,,,,,,,FALSE
3,6,Alopecurus alpinus,Live,Leaf,1,7.8,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXpeltigera,,,,,,,FALSE
3,7,XXXbareground,,,,0,,,FALSE
3,8,XXXcrustous,,,,0,,,FALSE
3,9,Dryas integrifolia,Live,Leaf,2,3.2,,,FALSE
,,XXXlitter,,,,,,,FALSE
3,10,Dryas integrifolia,Live,Leaf,1,2.4,,,FALSE
,,Dactylina arctica,Live,Leaf,1,,,,FALSE
,,XXXbareground,,,,,,,FALSE
4,1,Alopecurus alpinus,Standing dead,Leaf,1,5.4,,,FALSE
,,Alopecurus alpinus,Live,Leaf,1,,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
4,2,Astralagus umbelletus,Live,Leaf,1,6,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
4,3,Alopecurus alpinus,Live,Leaf,1,5.7,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
4,4,Alopecurus alpinus,Live,Leaf,1,8.8,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,Dryas integrifolia,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
4,5,Alopecurus alpinus,Live,Leaf,1,5.6,,,FALSE
,,Cetraria islandica,Live,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
4,6,Alopecurus alpinus,Live,Leaf,1,4.5,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
4,7,Alopecurus alpinus,Standing dead,Leaf,1,2.5,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
4,8,Alopecurus alpinus,Standing dead,Leaf,1,5.2,,,FALSE
,,Luzula arctica,Live,Leaf,1,,,,FALSE
,,XXXbareground,,,,,,,FALSE
4,9,Alopecurus alpinus,Live,Leaf,1,4.6,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
4,10,Dryas integrifolia,Live,Leaf,2,2.2,,,FALSE
,,XXXlitter,,,,,,,FALSE
5,1,Dryas integrifolia,Live,Leaf,2,3.1,,,FALSE
,,XXXlitter,,,,,,,FALSE
5,2,Alopecurus alpinus,Standing dead,Flower stalk,1,14,,,FALSE
,,Alopecurus alpinus,Live,Leaf,2,,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
5,3,Oxytropis campestris,Live,Leaf,1,1.1,,,FALSE
,,Dryas integrifolia,Live,Leaf,3,,,,FALSE
,,XXXlitter,,,,,,,FALSE
5,4,Oxytropis campestris,Live,Leaf,1,6.3,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
5,5,Alopecurus alpinus,Live,Leaf,1,6.5,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,2,,,,FALSE
,,XXXlitter,,,,,,,FALSE
5,6,Dryas integrifolia,Live,Leaf,2,2.4,,,FALSE
,,XXXlitter,,,,,,,FALSE
5,7,Alopecurus alpinus,Live,Leaf,1,5.8,,,FALSE
,,Alopecurus alpinus,Standing dead,Leaf,1,,,,FALSE
,,XXXlitter,,,,,,,FALSE
5,8,Alopecurus alpinus,Standing dead,Leaf,1,2.6,,,FALSE
,,Dryas integrifolia,Live,Leaf,2,,,,FALSE
