Y,X,,Status,Tissue,Count,Height (cm),Herbivory,Notes,Photo,subsite,plot
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,10,Eriophorum angustifolium,Live,Leaf,1,12.7,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
7,1,Polygonum bistorta,Live,Leaf,2,7.7,,,FALSE,HE,3
,,Salix reticulata,,,2,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,2,Poa arctica,Standing dead,Flower stalk,1,10.9,,,FALSE,HE,3
,,Salix reticulata,Live,Leaf,1,,,,FALSE,HE,3
,,Salix pulchra,Live,Stem,1,1.5,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,,XXXpeltigera,,,,,,,FALSE,HE,3
,3,Eriophorum vaginatum,Live,,4,13.5,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,4,Eriophorum vaginatum,Live,Leaf,1,15,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,Leaf,6,,,,FALSE,HE,3
,,Pyrola grandiflora,Live,Leaf,1,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,5,Eriophorum vaginatum,Live,,4,12.3,,,FALSE,HE,3
,,Eriophorum vaginatum,Live,Flower stalk,1,,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,6,Eriophorum vaginatum,Live,Leaf,5,10.2,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,Leaf,4,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,7,Eriophorum vaginatum,Live,Leaf,3,13.1,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,Leaf,5,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,8,Arctagrostis latifolia,Live,Leaf,1,20.2,,,FALSE,HE,3
,,Salix pulchra,Live,Leaf,2,8.1,,,FALSE,HE,3
,,Eriophorum vaginatum,Live,Leaf,3,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,9,Salix pulchra,Live,Leaf,2,10.7,,,FALSE,HE,3
,,Eriophorum vaginatum,Live,Leaf,1,,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,Leaf,1,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,10,Arctagrostis latifolia,Live,Leaf,1,17.2,,,FALSE,HE,3
,,Salix pulchra,Live,Leaf,1,11.4,,,FALSE,HE,3
,,Eriophorum angustifolium,Live,Leaf,1,,,,FALSE,HE,3
,,Eriophorum angustifolium,Standing dead,Leaf,1,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
8,1,Arctagrostis latifolia,Live,Leaf,1,8.1,,,FALSE,HE,3
,,Salix reticulata,Live,Leaf,1,,,,FALSE,HE,3
,,Senecio astropurpureus,Live,Leaf,1,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,2,Eriophorum vaginatum,Live,,3,13.4,,,FALSE,HE,3
,,Arctagrostis latifolia,Live,,2,,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,4,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,3,Eriophorum vaginatum,Live,,4,11.2,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,6,,,,FALSE,HE,3
,,Stellaria longipes,Standing dead,,1,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,4,Eriophorum vaginatum,Live,,5,13.8,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,4,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,5,Eriophorum vaginatum,Live,,2,12.1,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,6,Eriophorum vaginatum,Live,,4,8.2,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,7,Eriophorum vaginatum,Live,,6,19.1,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,7,,,,FALSE,HE,3
,,Pyrola grandiflora,Live,,1,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,8,Eriophorum vaginatum,Live,,2,13.9,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,9,Eriophorum vaginatum,Standing dead,,4,9.3,,,FALSE,HE,3
,,Eriophorum vaginatum,Live,,1,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,10,Eriophorum vaginatum,Standing dead,,2,7.6,,,FALSE,HE,3
,,Eriophorum vaginatum,Live,,4,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
9,1,Arctagrostis latifolia,,,,,,,FALSE,HE,3
,,Eriophorum vaginatum,Live,,,10.4,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,,,,,FALSE,HE,3
,,Salix reticulata,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,2,Eriophorum vaginatum,Live,Leaf,7,10.9,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,Leaf,3,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXbareground,,,,,,Lemming hole,FALSE,HE,3
,3,Eriophorum vaginatum,Live,Flower stalk,1,13.9,,,FALSE,HE,3
,,Eriophorum vaginatum,Live,,4,,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,6,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,4,Eriophorum vaginatum,Live,Flower stalk,1,17.2,,,FALSE,HE,3
,,Eriophorum vaginatum,Live,,1,,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,4,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,5,Eriophorum vaginatum,Standing dead,Leaf,2,4.1,,,FALSE,HE,3
,,Pyrola grandiflora,Live,Leaf,1,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,6,Eriophorum vaginatum,Live,Leaf,2,9.8,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,Leaf,3,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,7,Eriophorum vaginatum,Live,Leaf,7,20.2,,,FALSE,HE,3
,,Salix pulchra,Live,Leaf,1,16.4,,,FALSE,HE,3
,,Salix pulchra,Live,Stem,1,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,8,Salix pulchra,Live,Leaf,1,8.8,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,9,Eriophorum vaginatum,Live,Leaf,4,13,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,Leaf,2,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,10,Eriophorum vaginatum,Live,Leaf,1,6.8,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,Leaf,4,,,,FALSE,HE,3
,,Eriophorum angustifolium,,,,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
10,1,Eriophorum vaginatum,Live,Leaf,3,13.6,,,FALSE,HE,3
,,Eriophorum vaginatum,Live,Flower stalk,1,,,,FALSE,HE,3
,,Salix reticulata,Live,Leaf,1,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,2,Eriophorum vaginatum,Live,Leaf,4,14.6,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,Leaf,3,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,3,Eriophorum vaginatum,Live,,4,15.6,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,4,Eriophorum vaginatum,Live,,1,6.8,,,FALSE,HE,3
,,Eriophorum angustifolium,Live,,1,,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,5,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,5,Eriophorum vaginatum,Live,,2,10.1,,,FALSE,HE,3
,,Eriophorum angustifolium,Standing dead,,5,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,6,Arctagrostis latifolia,,,,,,,FALSE,HE,3
,,Eriophorum vaginatum,Live,,3,17.4,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,1,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,7,Polygonum bistorta,Live,Leaf,1,11.1,,,FALSE,HE,3
,,Salix pulchra,,,,7.4,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,8,Eriophorum vaginatum,,,,11,,,FALSE,HE,3
,,Arctagrostis latifolia,Standing dead,,,,,,FALSE,HE,3
,,Eriophorum angustifolium,,,,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,9,Eriophorum vaginatum,Live,,2,9.4,,,FALSE,HE,3
,,Polygonum bistorta,,,,,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
,10,Eriophorum vaginatum,Live,,,9.6,,,FALSE,HE,3
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,3
,,XXXlitter,,,,,,,FALSE,HE,3
,,XXXothermoss,,,,,,,FALSE,HE,3
1,1,Eriophorum vaginatum,Standing dead,,2,9.7,,Record  species which are in the plot but weren’t hit,FALSE,HE,4
,,Salix pulchra,,Stem,,,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,,,,Poa arctica,FALSE,HE,4
,,XXXothermoss,,,,,,Salix phlebophylla,FALSE,HE,4
,2,XXXcarex,Standing dead,,2,14.5,,Thamnolia subuliformis,FALSE,HE,4
,,Eriophorum vaginatum,,,2,,,Luzula arctica,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,3,,,Cup lichen,FALSE,HE,4
,,XXXlitter,,,,,,XXXfungus,FALSE,HE,4
,3,Eriophorum vaginatum,Live,,2,9.1,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,3,,,Maybe?,FALSE,HE,4
,,Cardamine digitalis,,,,,,Pedicularis capitata,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,4,Eriophorum vaginatum,Live,Flower,1,18.9,,,FALSE,HE,4
,,Salix pulchra,,,,8.5,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,2,,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,4,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,5,Eriophorum vaginatum,,,3,12.5,,,FALSE,HE,4
,,XXXcarex,,,1,,,,FALSE,HE,4
,,XXXcarex,Standing dead,,1,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,6,XXXcarex,Live,Leaf,1,18.4,,,FALSE,HE,4
,,Salix pulchra,Live,Leaf,3,11.6,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,Leaf,2,,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,Leaf,2,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,7,Eriophorum vaginatum,Standing dead,,1,12.7,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,8,Salix pulchra,,,,9.9,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,1,,,,FALSE,HE,4
,,XXXcarex,,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,9,Arctagrostis latifolia,Standing dead,,,22,,,FALSE,HE,4
,,Salix pulchra,,,,11.2,,,FALSE,HE,4
,,Pedicularis capitata,,,,,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,10,XXXcarex,Live,,2,14,,,FALSE,HE,4
,,XXXcarex,Standing dead,,5,,,,FALSE,HE,4
,,Salix reticulata,,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
2,1,XXXcarex,Live,,2,12.4,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,3,,,,FALSE,HE,4
,,XXXcarex,Standing dead,,4,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,2,XXXcarex,Live,,,9.8,,,FALSE,HE,4
,,XXXcarex,Standing dead,,2,,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,1,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,3,Eriophorum vaginatum,Live,,1,6.1,,,FALSE,HE,4
,,Salix pulchra,,,1,4.4,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,4,,,,FALSE,HE,4
,4,Eriophorum vaginatum,Standing dead,,5,7,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,5,Eriophorum vaginatum,Live,,3,20.7,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,Flower stalk,1,,,,FALSE,HE,4
,,Salix pulchra,,,,15.9,,,FALSE,HE,4
,,Salix pulchra,Standing dead,Flower,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,6,XXXcarex,Live,,2,21.1,,,FALSE,HE,4
,,Salix pulchra,,,,11.6,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,2,,,,FALSE,HE,4
,,Salix reticulata,,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,7,Salix pulchra,,,,11.6,,,FALSE,HE,4
,,Eriophorum vaginatum,,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,8,XXXcarex,,,2,10.6,,,FALSE,HE,4
,,XXXcarex,,,4,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,9,XXXcarex,Standing dead,,4,13.6,,,FALSE,HE,4
,,XXXcarex,Live,,1,,,,FALSE,HE,4
,,Salix pulchra,,,,7.1,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,10,XXXcarex,Live,,2,14.1,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,1,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
3,1,Eriophorum vaginatum,Live,,3,16.3,,,FALSE,HE,4
,,XXXcarex,Live,,2,,,,FALSE,HE,4
,,XXXcarex,Standing dead,,2,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,2,Eriophorum vaginatum,Live,,4,11.5,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,3,Eriophorum vaginatum,Standing dead,,4,9,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,2,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,3,9.9,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,6,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,4,Eriophorum vaginatum,Standing dead,Leaf,4,8,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,Flower stalk,1,,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,Leaf,2,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,5,Eriophorum vaginatum,Live,,3,8.8,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,4,,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,Flower stalk,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,6,Eriophorum vaginatum,Live,,6,18.9,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,4,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,7,Senecio astropurpureus,Live,Leaf,1,2.2,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,8,Eriophorum vaginatum,Live,,1,12.2,,,FALSE,HE,4
,,Salix pulchra,,Stem,,6,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,9,Eriophorum vaginatum,Live,,2,10.9,,,FALSE,HE,4
,,XXXcarex,,,2,,,,FALSE,HE,4
,,XXXcarex,Standing dead,,3,,,,FALSE,HE,4
,,Salix pulchra,,,,5,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,10,XXXcarex,,,,,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,2,15.4,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,4
,,Senecio astropurpureus,,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,1,XXXcarex,,,,14.8,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,3,,,,FALSE,HE,4
,,XXXcarex,Standing dead,,2,,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,4,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,2,Eriophorum vaginatum,Live,Flower,,15.5,,,FALSE,HE,4
,,XXXcarex,Live,Leaf,,,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,2,,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,4,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,3,Eriophorum vaginatum,Live,Leaf,3,12.6,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,4,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,4,Eriophorum vaginatum,Live,,4,15.5,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,5,Eriophorum vaginatum,Live,,5,12.8,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,6,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,6,Arctagrostis latifolia,Standing dead,Flower stalk,1,26.2,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,4,,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,1,,,,FALSE,HE,4
,,Arctagrostis latifolia,Live,Flower stalk,1,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,7,Salix pulchra,,,,10.5,,,FALSE,HE,4
,,Senecio astropurpureus,,,,,,,FALSE,HE,4
,,Stellaria longipes,Standing dead,,,,,,FALSE,HE,4
,8,Eriophorum vaginatum,Standing dead,,2,3.6,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,1,,,,FALSE,HE,4
,,Salix reticulata,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,9,Eriophorum vaginatum,Standing dead,,2,6.5,,,FALSE,HE,4
,,XXXcarex,,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,10,Eriophorum vaginatum,Standing dead,,1,6.9,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,1,3.3,,,FALSE,HE,4
,,Salix pulchra,,,1,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
5,1,Eriophorum vaginatum,Live,,1,12,,,FALSE,HE,4
,,XXXcarex,,,,,,,FALSE,HE,4
,,XXXcarex,Standing dead,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,2,Eriophorum vaginatum,Live,,,16.5,,,FALSE,HE,4
,,XXXcarex,Live,,2,,,,FALSE,HE,4
,,XXXcarex,Standing dead,,2,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,3,Eriophorum vaginatum,Live,,3,10.2,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,6,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,4,Eriophorum vaginatum,Standing dead,,6,6.3,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,4,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,5,XXXcarex,Standing dead,Flower stalk,,16.5,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,3,,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,1,,,,FALSE,HE,4
,,Salix pulchra,Live,Stem,,6.4,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,6,Eriophorum vaginatum,Live,,4,8.9,,,FALSE,HE,4
,,XXXcarex,Standing dead,,2,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,7,XXXcarex,Live,,1,21.4,,,FALSE,HE,4
,,XXXcarex,Standing dead,,1,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,8,XXXcarex,,,2,10.9,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,9,XXXcarex,Standing dead,,1,6.2,,,FALSE,HE,4
,,Dryas integrifolia,Live,,2,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,10,XXXcarex,Live,,,15.4,,,FALSE,HE,4
,,XXXcarex,Standing dead,,,,,,FALSE,HE,4
,,Polygonum bistorta,,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
6,1,XXXcarex,,,,11.1,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,2,Senecio astropurpureus,,,,3.9,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,3,XXXcarex,Live,,2,13.5,,,FALSE,HE,4
,,XXXcarex,Standing dead,,2,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,4,Eriophorum vaginatum,Live,,,12.8,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,3,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,5,Eriophorum vaginatum,Live,,1,7.9,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,2,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,6,Eriophorum vaginatum,Live,,1,8.6,,,FALSE,HE,4
,,XXXcarex,Standing dead,,1,,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,1,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,7,Salix pulchra,,,2,,,,FALSE,HE,4
,,Dryas integrifolia,,,,,,,FALSE,HE,4
,,XXXpeltigera,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,8,XXXcarex,Live,,2,11.6,,,FALSE,HE,4
,,XXXcarex,Standing dead,,2,,,,FALSE,HE,4
,,Salix pulchra,,,2,6.3,,,FALSE,HE,4
,,Dryas integrifolia,,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,9,Salix pulchra,,,,6.9,,,FALSE,HE,4
,,XXXcarex,Standing dead,,2,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,10,Poa arctica,Live,Flower stalk,,17.6,,,FALSE,HE,4
,,XXXcarex,,Leaf,,,,,FALSE,HE,4
,,Poa arctica,,Flower stalk,,,,,FALSE,HE,4
,,XXXcarex,Standing dead,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
7,1,XXXcarex,Live,,1,14.9,,,FALSE,HE,4
,,XXXcarex,Standing dead,Flower stalk,1,,,,FALSE,HE,4
,,Salix pulchra,Live,,3,9.5,,,FALSE,HE,4
,,XXXcarex,Standing dead,,1,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,2,XXXcarex,Live,,2,14.9,,,FALSE,HE,4
,,XXXcarex,Standing dead,Flower stalk,1,,,,FALSE,HE,4
,,XXXcarex,Standing dead,Leaf,3,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,3,Salix pulchra,,,2,15.8,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,4,XXXothermoss,,,,1,,,FALSE,HE,4
,5,XXXcarex,Standing dead,,,6.5,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,,XXXpeltigera,,,,,,,FALSE,HE,4
,6,Salix pulchra,,,2,4.6,,,FALSE,HE,4
,,Salix pulchra,,Stem,,,,,FALSE,HE,4
,,Dryas integrifolia,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,7,XXXcarex,Live,,2,17.6,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,,,,,FALSE,HE,4
,,XXXcarex,Standing dead,,,,,,FALSE,HE,4
,8,Salix pulchra,,,2,10.2,,,FALSE,HE,4
,,Salix pulchra,Live,Stem,,,,,FALSE,HE,4
,,XXXcarex,,,,,,,FALSE,HE,4
,,Eriophorum vaginatum,Standing dead,,4,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,,,,,FALSE,HE,4
,9,Eriophorum vaginatum,Live,,,10.6,,,FALSE,HE,4
,,XXXcarex,Standing dead,,,,,,FALSE,HE,4
,,Dryas integrifolia,,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,10,XXXcarex,Standing dead,,,2.6,,,FALSE,HE,4
,,Dryas integrifolia,,,,,,,FALSE,HE,4
,,XXXlitter,,,,,,,FALSE,HE,4
,,XXXothermoss,,,Count,,,,FALSE,HE,4
8,1,XXXcarex,Standing dead,Flower stalk,,23.4,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,Flower stalk,,,,,FALSE,HE,4
,,XXXcarex,Standing dead,Leaf,,,,,FALSE,HE,4
,,Eriophorum vaginatum,Live,,2,,,,FALSE,HE,4
,,Salix pulchra,,Stem,,5.1,,,FALSE,HE,4
